Restaurant_Location,date_time,number_of_orders,percentage_of_delivery_orders
Bryant Park,24-09-2018,922,0.0835141
Bryant Park,25-09-2018,953,0.119622246
Bryant Park,26-09-2018,846,0.115839243
Bryant Park,27-09-2018,906,0.09602649
Bryant Park,28-09-2018,938,0.095948827
Bryant Park,01-10-2018,889,0.097862767
Bryant Park,02-10-2018,881,0.095346198
Bryant Park,03-10-2018,932,0.089055794
Bryant Park,04-10-2018,892,0.100896861
Bryant Park,05-10-2018,927,0.076591154
Bryant Park,08-10-2018,478,0.089958159
Bryant Park,09-10-2018,953,0.103882476
Bryant Park,10-10-2018,956,0.092050209
Bryant Park,11-10-2018,976,0.147540984
Bryant Park,12-10-2018,994,0.091549296
Bryant Park,15-10-2018,948,0.077004219
Bryant Park,16-10-2018,961,0.099895942
Bryant Park,17-10-2018,993,0.089627392
Bryant Park,18-10-2018,957,0.087774295
Bryant Park,19-10-2018,931,0.090225564
Bryant Park,22-10-2018,1003,0.084745763
Bryant Park,23-10-2018,993,0.096676737
Bryant Park,24-10-2018,942,0.077494692
Bryant Park,25-10-2018,1002,0.088822355
Bryant Park,26-10-2018,937,0.109925293
Bryant Park,29-10-2018,1027,0.092502434
Bryant Park,30-10-2018,975,0.086153846
Bryant Park,31-10-2018,1001,0.070929071
Bryant Park,01-11-2018,890,0.083146067
Bryant Park,02-11-2018,903,0.099667774
Bryant Park,05-11-2018,930,0.090322581
Bryant Park,06-11-2018,930,0.130107527
Bryant Park,07-11-2018,911,0.091108672
Bryant Park,08-11-2018,915,0.075409836
Bryant Park,09-11-2018,886,0.125282167
Bryant Park,12-11-2018,512,0.08984375
Bryant Park,13-11-2018,918,0.090413943
Bryant Park,14-11-2018,879,0.113765643
Bryant Park,15-11-2018,887,0.138669673
Bryant Park,16-11-2018,938,0.093816631
Bryant Park,19-11-2018,988,0.096153846
Bryant Park,20-11-2018,947,0.10031679
Bryant Park,21-11-2018,868,0.117511521
Bryant Park,22-11-2018,457,0.115973742
Bryant Park,23-11-2018,884,0.133484163
Bryant Park,26-11-2018,902,0.110864745
Bryant Park,27-11-2018,912,0.088815789
Bryant Park,28-11-2018,919,0.110990207
Bryant Park,29-11-2018,870,0.106896552
Bryant Park,30-11-2018,884,0.119909502
Bryant Park,03-12-2018,954,0.08490566
Bryant Park,04-12-2018,987,0.117527862
Bryant Park,05-12-2018,983,0.123092574
Bryant Park,06-12-2018,972,0.104938272
Bryant Park,07-12-2018,990,0.115151515
Bryant Park,10-12-2018,1021,0.118511263
Bryant Park,11-12-2018,1053,0.101614435
Bryant Park,12-12-2018,1003,0.114656032
Bryant Park,13-12-2018,955,0.080628272
Bryant Park,14-12-2018,1005,0.08159204
Bryant Park,17-12-2018,1055,0.08436019
Bryant Park,18-12-2018,966,0.110766046
Bryant Park,19-12-2018,976,0.101434426
Bryant Park,20-12-2018,992,0.088709677
Bryant Park,21-12-2018,1015,0.109359606
Bryant Park,24-12-2018,1033,0.103581801
Bryant Park,25-12-2018,532,0.095864662
Bryant Park,26-12-2018,936,0.10042735
Bryant Park,27-12-2018,1019,0.104023553
Bryant Park,28-12-2018,1015,0.116256158
Bryant Park,31-12-2018,969,0.133126935
Columbia,01-01-2018,519,0.157996146
Columbia,02-01-2018,547,0.126142596
Columbia,03-01-2018,532,0.12406015
Columbia,04-01-2018,502,0.153386454
Columbia,05-01-2018,477,0.178197065
Columbia,06-01-2018,476,0.18697479
Columbia,07-01-2018,494,0.155870445
Columbia,08-01-2018,565,0.113274336
Columbia,09-01-2018,595,0.105882353
Columbia,10-01-2018,591,0.087986464
Columbia,11-01-2018,662,0.078549849
Columbia,12-01-2018,666,0.081081081
Columbia,13-01-2018,636,0.158805031
Columbia,14-01-2018,618,0.111650485
Columbia,15-01-2018,701,0.138373752
Columbia,16-01-2018,737,0.124830393
Columbia,17-01-2018,694,0.141210375
Columbia,18-01-2018,704,0.154829545
Columbia,19-01-2018,774,0.133074935
Columbia,20-01-2018,669,0.071748879
Columbia,21-01-2018,745,0.123489933
Columbia,22-01-2018,752,0.132978723
Columbia,23-01-2018,767,0.125162973
Columbia,24-01-2018,705,0.117730496
Columbia,25-01-2018,700,0.131428571
Columbia,26-01-2018,710,0.094366197
Columbia,27-01-2018,780,0.096153846
Columbia,28-01-2018,737,0.081411126
Columbia,29-01-2018,722,0.083102493
Columbia,30-01-2018,736,0.129076087
Columbia,31-01-2018,783,0.120051086
Columbia,01-02-2018,806,0.101736973
Columbia,02-02-2018,754,0.132625995
Columbia,03-02-2018,687,0.11062591
Columbia,04-02-2018,785,0.143949045
Columbia,05-02-2018,794,0.118387909
Columbia,06-02-2018,793,0.113493064
Columbia,07-02-2018,770,0.171428571
Columbia,08-02-2018,781,0.160051216
Columbia,09-02-2018,763,0.093053735
Columbia,10-02-2018,782,0.121483376
Columbia,11-02-2018,770,0.094805195
Columbia,12-02-2018,780,0.080769231
Columbia,13-02-2018,760,0.122368421
Columbia,14-02-2018,803,0.079701121
Columbia,15-02-2018,776,0.103092784
Columbia,16-02-2018,783,0.083014049
Columbia,17-02-2018,830,0.102409639
Columbia,18-02-2018,786,0.108142494
Columbia,19-02-2018,790,0.092405063
Columbia,20-02-2018,770,0.084415584
Columbia,21-02-2018,778,0.096401028
Columbia,22-02-2018,762,0.104986877
Columbia,23-02-2018,764,0.102094241
Columbia,24-02-2018,798,0.0839599
Columbia,25-02-2018,791,0.09102402
Columbia,26-02-2018,788,0.077411168
Columbia,27-02-2018,770,0.079220779
Columbia,28-02-2018,828,0.079710145
Columbia,01-03-2018,783,0.070242656
Columbia,02-03-2018,765,0.133333333
Columbia,03-03-2018,804,0.082089552
Columbia,04-03-2018,785,0.119745223
Columbia,05-03-2018,745,0.102013423
Columbia,06-03-2018,819,0.103785104
Columbia,07-03-2018,743,0.125168237
Columbia,08-03-2018,767,0.105606258
Columbia,09-03-2018,751,0.106524634
Columbia,10-03-2018,757,0.109643329
Columbia,11-03-2018,833,0.080432173
Columbia,12-03-2018,756,0.091269841
Columbia,13-03-2018,740,0.106756757
Columbia,14-03-2018,742,0.099730458
Columbia,15-03-2018,820,0.115853659
Columbia,16-03-2018,708,0.108757062
Columbia,17-03-2018,800,0.0875
Columbia,18-03-2018,744,0.092741935
Columbia,19-03-2018,751,0.094540613
Columbia,20-03-2018,778,0.106683805
Columbia,21-03-2018,793,0.15258512
Columbia,22-03-2018,754,0.074270557
Columbia,23-03-2018,773,0.084087969
Columbia,24-03-2018,764,0.07460733
Columbia,25-03-2018,735,0.107482993
Columbia,26-03-2018,742,0.101078167
Columbia,27-03-2018,804,0.074626866
Columbia,28-03-2018,808,0.094059406
Columbia,29-03-2018,765,0.08627451
Columbia,30-03-2018,772,0.086787565
Columbia,31-03-2018,813,0.087330873
Columbia,01-04-2018,742,0.088948787
Columbia,02-04-2018,806,0.106699752
Columbia,03-04-2018,733,0.10095498
Columbia,04-04-2018,801,0.086142322
Columbia,05-04-2018,787,0.092757306
Columbia,06-04-2018,756,0.078042328
Columbia,07-04-2018,763,0.085190039
Columbia,08-04-2018,752,0.089095745
Columbia,09-04-2018,759,0.088274045
Columbia,10-04-2018,784,0.084183673
Columbia,11-04-2018,770,0.077922078
Columbia,12-04-2018,735,0.078911565
Columbia,13-04-2018,733,0.085948158
Columbia,14-04-2018,748,0.069518717
Columbia,15-04-2018,747,0.120481928
Columbia,16-04-2018,743,0.080753701
Columbia,17-04-2018,765,0.092810458
Columbia,18-04-2018,787,0.094027954
Columbia,19-04-2018,772,0.095854922
Columbia,20-04-2018,781,0.056338028
Columbia,21-04-2018,821,0.088915956
Columbia,22-04-2018,784,0.073979592
Columbia,23-04-2018,749,0.090787717
Columbia,24-04-2018,774,0.089147287
Columbia,25-04-2018,757,0.084544254
Columbia,26-04-2018,797,0.089084065
Columbia,27-04-2018,758,0.080474934
Columbia,28-04-2018,773,0.077619664
Columbia,29-04-2018,744,0.096774194
Columbia,30-04-2018,784,0.072704082
Columbia,01-05-2018,687,0.084425036
Columbia,02-05-2018,674,0.102373887
Columbia,03-05-2018,670,0.117910448
Columbia,04-05-2018,692,0.121387283
Columbia,05-05-2018,720,0.086111111
Columbia,06-05-2018,737,0.066485753
Columbia,07-05-2018,701,0.102710414
Columbia,08-05-2018,736,0.08423913
Columbia,09-05-2018,690,0.091304348
Columbia,10-05-2018,730,0.101369863
Columbia,11-05-2018,718,0.090529248
Columbia,12-05-2018,709,0.071932299
Columbia,13-05-2018,750,0.084
Columbia,14-05-2018,731,0.093023256
Columbia,15-05-2018,712,0.141853933
Columbia,16-05-2018,733,0.076398363
Columbia,17-05-2018,693,0.092352092
Columbia,18-05-2018,750,0.06
Columbia,19-05-2018,739,0.106901218
Columbia,20-05-2018,694,0.096541787
Columbia,21-05-2018,707,0.103253182
Columbia,22-05-2018,715,0.118881119
Columbia,23-05-2018,722,0.091412742
Columbia,24-05-2018,653,0.113323124
Columbia,25-05-2018,694,0.095100865
Columbia,26-05-2018,659,0.075872534
Columbia,27-05-2018,718,0.090529248
Columbia,28-05-2018,713,0.09256662
Columbia,29-05-2018,665,0.120300752
Columbia,30-05-2018,655,0.096183206
Columbia,31-05-2018,695,0.090647482
Columbia,01-06-2018,667,0.085457271
Columbia,02-06-2018,614,0.118892508
Columbia,03-06-2018,696,0.102011494
Columbia,04-06-2018,627,0.094098884
Columbia,05-06-2018,644,0.093167702
Columbia,06-06-2018,715,0.092307692
Columbia,07-06-2018,716,0.104748603
Columbia,08-06-2018,683,0.105417277
Columbia,09-06-2018,618,0.093851133
Columbia,10-06-2018,665,0.07518797
Columbia,11-06-2018,684,0.073099415
Columbia,12-06-2018,658,0.092705167
Columbia,13-06-2018,679,0.1089838
Columbia,14-06-2018,602,0.111295681
Columbia,15-06-2018,687,0.088791849
Columbia,16-06-2018,541,0.096118299
Columbia,17-06-2018,577,0.110918544
Columbia,18-06-2018,611,0.119476268
Columbia,19-06-2018,568,0.110915493
Columbia,20-06-2018,614,0.13029316
Columbia,21-06-2018,565,0.090265487
Columbia,22-06-2018,639,0.087636933
Columbia,23-06-2018,639,0.090766823
Columbia,24-06-2018,547,0.095063985
Columbia,25-06-2018,587,0.117546848
Columbia,26-06-2018,524,0.106870229
Columbia,27-06-2018,527,0.10056926
Columbia,28-06-2018,528,0.130681818
Columbia,29-06-2018,460,0.102173913
Columbia,30-06-2018,474,0.128691983
Columbia,01-07-2018,441,0.120181406
Columbia,02-07-2018,464,0.114224138
Columbia,03-07-2018,503,0.131212724
Columbia,04-07-2018,495,0.123232323
Columbia,05-07-2018,461,0.088937093
Columbia,06-07-2018,485,0.096907216
Columbia,07-07-2018,530,0.111320755
Columbia,08-07-2018,506,0.086956522
Columbia,09-07-2018,490,0.114285714
Columbia,10-07-2018,439,0.107061503
Columbia,11-07-2018,446,0.078475336
Columbia,12-07-2018,482,0.101659751
Columbia,13-07-2018,450,0.084444444
Columbia,14-07-2018,426,0.100938967
Columbia,15-07-2018,453,0.088300221
Columbia,16-07-2018,442,0.083710407
Columbia,17-07-2018,478,0.094142259
Columbia,18-07-2018,468,0.102564103
Columbia,19-07-2018,438,0.093607306
Columbia,20-07-2018,471,0.061571125
Columbia,21-07-2018,497,0.086519115
Columbia,22-07-2018,500,0.092
Columbia,23-07-2018,467,0.113490364
Columbia,24-07-2018,462,0.106060606
Columbia,25-07-2018,498,0.100401606
Columbia,26-07-2018,485,0.131958763
Columbia,27-07-2018,524,0.118320611
Columbia,28-07-2018,443,0.115124153
Columbia,29-07-2018,535,0.121495327
Columbia,30-07-2018,499,0.06012024
Columbia,31-07-2018,569,0.123022847
Columbia,01-08-2018,495,0.111111111
Columbia,02-08-2018,520,0.103846154
Columbia,03-08-2018,491,0.109979633
Columbia,04-08-2018,567,0.116402116
Columbia,05-08-2018,458,0.113537118
Columbia,06-08-2018,507,0.094674556
Columbia,07-08-2018,543,0.143646409
Columbia,08-08-2018,513,0.089668616
Columbia,09-08-2018,546,0.102564103
Columbia,10-08-2018,544,0.104779412
Columbia,11-08-2018,618,0.116504854
Columbia,12-08-2018,563,0.106571936
Columbia,13-08-2018,578,0.096885813
Columbia,14-08-2018,604,0.11589404
Columbia,15-08-2018,576,0.114583333
Columbia,16-08-2018,517,0.121856867
Columbia,17-08-2018,608,0.128289474
Columbia,18-08-2018,593,0.155143339
Columbia,19-08-2018,654,0.091743119
Columbia,20-08-2018,657,0.106544901
Columbia,21-08-2018,679,0.098674521
Columbia,22-08-2018,550,0.107272727
Columbia,23-08-2018,645,0.125581395
Columbia,24-08-2018,640,0.09375
Columbia,25-08-2018,644,0.114906832
Columbia,26-08-2018,625,0.0896
Columbia,27-08-2018,614,0.136807818
Columbia,28-08-2018,581,0.125645439
Columbia,29-08-2018,603,0.119402985
Columbia,30-08-2018,615,0.104065041
Columbia,31-08-2018,664,0.094879518
Columbia,01-09-2018,689,0.058055152
Columbia,02-09-2018,672,0.104166667
Columbia,03-09-2018,677,0.107828656
Columbia,04-09-2018,582,0.109965636
Columbia,05-09-2018,641,0.104524181
Columbia,06-09-2018,625,0.1168
Columbia,07-09-2018,700,0.091428571
Columbia,08-09-2018,752,0.078457447
Columbia,09-09-2018,774,0.086563307
Columbia,10-09-2018,763,0.108781127
Columbia,11-09-2018,747,0.104417671
Columbia,12-09-2018,697,0.120516499
Columbia,13-09-2018,666,0.084084084
Columbia,14-09-2018,682,0.096774194
Columbia,15-09-2018,733,0.085948158
Columbia,16-09-2018,729,0.093278464
Columbia,17-09-2018,679,0.111929308
Columbia,18-09-2018,750,0.121333333
Columbia,19-09-2018,708,0.097457627
Columbia,20-09-2018,729,0.079561043
Columbia,21-09-2018,733,0.081855389
Columbia,22-09-2018,715,0.090909091
Columbia,23-09-2018,728,0.087912088
Columbia,24-09-2018,815,0.098159509
Columbia,25-09-2018,708,0.117231638
Columbia,26-09-2018,689,0.108853411
Columbia,27-09-2018,724,0.082872928
Columbia,28-09-2018,747,0.072289157
Columbia,29-09-2018,752,0.087765957
Columbia,30-09-2018,713,0.103786816
Columbia,01-10-2018,656,0.096036585
Columbia,02-10-2018,752,0.094414894
Columbia,03-10-2018,709,0.077574048
Columbia,04-10-2018,702,0.081196581
Columbia,05-10-2018,737,0.073270014
Columbia,06-10-2018,776,0.079896907
Columbia,07-10-2018,719,0.07232267
Columbia,08-10-2018,695,0.086330935
Columbia,09-10-2018,727,0.077028886
Columbia,10-10-2018,705,0.09787234
Columbia,11-10-2018,739,0.151556157
Columbia,12-10-2018,708,0.09039548
Columbia,13-10-2018,765,0.083660131
Columbia,14-10-2018,758,0.085751979
Columbia,15-10-2018,734,0.117166213
Columbia,16-10-2018,767,0.092568449
Columbia,17-10-2018,752,0.089095745
Columbia,18-10-2018,715,0.082517483
Columbia,19-10-2018,723,0.102351314
Columbia,20-10-2018,757,0.084544254
Columbia,21-10-2018,765,0.101960784
Columbia,22-10-2018,771,0.067444877
Columbia,23-10-2018,769,0.070221066
Columbia,24-10-2018,756,0.104497354
Columbia,25-10-2018,761,0.090670171
Columbia,26-10-2018,757,0.097754293
Columbia,27-10-2018,763,0.072083879
Columbia,28-10-2018,738,0.094850949
Columbia,29-10-2018,779,0.070603338
Columbia,30-10-2018,754,0.082228117
Columbia,31-10-2018,751,0.086551265
Columbia,01-11-2018,747,0.099062918
Columbia,02-11-2018,707,0.099009901
Columbia,03-11-2018,759,0.080368906
Columbia,04-11-2018,727,0.083906465
Columbia,05-11-2018,732,0.092896175
Columbia,06-11-2018,770,0.132467532
Columbia,07-11-2018,738,0.074525745
Columbia,08-11-2018,760,0.102631579
Columbia,09-11-2018,815,0.121472393
Columbia,10-11-2018,741,0.107962213
Columbia,11-11-2018,782,0.103580563
Columbia,12-11-2018,756,0.083333333
Columbia,13-11-2018,740,0.082432432
Columbia,14-11-2018,728,0.116758242
Columbia,15-11-2018,735,0.157823129
Columbia,16-11-2018,771,0.063553826
Columbia,17-11-2018,784,0.093112245
Columbia,18-11-2018,741,0.09851552
Columbia,19-11-2018,728,0.09478022
Columbia,20-11-2018,746,0.089812332
Columbia,21-11-2018,689,0.107402032
Columbia,22-11-2018,681,0.142437592
Columbia,23-11-2018,676,0.116863905
Columbia,24-11-2018,726,0.104683196
Columbia,25-11-2018,734,0.095367847
Columbia,26-11-2018,767,0.123859192
Columbia,27-11-2018,707,0.10466761
Columbia,28-11-2018,732,0.094262295
Columbia,29-11-2018,749,0.100133511
Columbia,30-11-2018,776,0.090206186
Columbia,01-12-2018,730,0.101369863
Columbia,02-12-2018,818,0.091687042
Columbia,03-12-2018,813,0.115621156
Columbia,04-12-2018,768,0.092447917
Columbia,05-12-2018,764,0.109947644
Columbia,06-12-2018,735,0.104761905
Columbia,07-12-2018,712,0.091292135
Columbia,08-12-2018,749,0.130841121
Columbia,09-12-2018,731,0.110807114
Columbia,10-12-2018,757,0.113606341
Columbia,11-12-2018,708,0.11299435
Columbia,12-12-2018,751,0.097203728
Columbia,13-12-2018,757,0.128137384
Columbia,14-12-2018,708,0.087570621
Columbia,15-12-2018,750,0.072
Columbia,16-12-2018,770,0.155844156
Columbia,17-12-2018,771,0.099870298
Columbia,18-12-2018,727,0.107290234
Columbia,19-12-2018,699,0.100143062
Columbia,20-12-2018,782,0.104859335
Columbia,21-12-2018,715,0.102097902
Columbia,22-12-2018,722,0.076177285
Columbia,23-12-2018,701,0.115549215
Columbia,24-12-2018,725,0.102068966
Columbia,25-12-2018,659,0.104704097
Columbia,26-12-2018,610,0.114754098
Columbia,27-12-2018,631,0.090332805
Columbia,28-12-2018,631,0.107765452
Columbia,29-12-2018,638,0.12539185
Columbia,30-12-2018,536,0.080223881
Columbia,31-12-2018,585,0.116239316
Flatiron,01-01-2018,484,0.148760331
Flatiron,02-01-2018,917,0.139585605
Flatiron,03-01-2018,877,0.143671608
Flatiron,04-01-2018,882,0.149659864
Flatiron,05-01-2018,860,0.160465116
Flatiron,06-01-2018,411,0.167883212
Flatiron,07-01-2018,476,0.178571429
Flatiron,08-01-2018,909,0.124312431
Flatiron,09-01-2018,942,0.093418259
Flatiron,10-01-2018,949,0.115911486
Flatiron,11-01-2018,955,0.096335079
Flatiron,12-01-2018,981,0.100917431
Flatiron,13-01-2018,476,0.119747899
Flatiron,14-01-2018,480,0.152083333
Flatiron,15-01-2018,502,0.137450199
Flatiron,16-01-2018,975,0.135384615
Flatiron,17-01-2018,928,0.123922414
Flatiron,18-01-2018,918,0.104575163
Flatiron,19-01-2018,950,0.105263158
Flatiron,20-01-2018,549,0.098360656
Flatiron,21-01-2018,541,0.085027726
Flatiron,22-01-2018,1026,0.096491228
Flatiron,23-01-2018,946,0.077167019
Flatiron,24-01-2018,909,0.100110011
Flatiron,25-01-2018,954,0.110062893
Flatiron,26-01-2018,945,0.124867725
Flatiron,27-01-2018,540,0.074074074
Flatiron,28-01-2018,547,0.091407678
Flatiron,29-01-2018,947,0.110876452
Flatiron,30-01-2018,937,0.11846318
Flatiron,31-01-2018,971,0.123583934
Flatiron,01-02-2018,962,0.106029106
Flatiron,02-02-2018,956,0.157949791
Flatiron,03-02-2018,506,0.156126482
Flatiron,04-02-2018,533,0.135084428
Flatiron,05-02-2018,939,0.129925453
Flatiron,06-02-2018,990,0.118181818
Flatiron,07-02-2018,1006,0.177932406
Flatiron,08-02-2018,904,0.117256637
Flatiron,09-02-2018,959,0.110531804
Flatiron,10-02-2018,540,0.087037037
Flatiron,11-02-2018,521,0.076775432
Flatiron,12-02-2018,1001,0.094905095
Flatiron,13-02-2018,961,0.126951093
Flatiron,14-02-2018,953,0.083945435
Flatiron,15-02-2018,908,0.088105727
Flatiron,16-02-2018,995,0.098492462
Flatiron,17-02-2018,496,0.118951613
Flatiron,18-02-2018,513,0.083820663
Flatiron,19-02-2018,518,0.077220077
Flatiron,20-02-2018,932,0.097639485
Flatiron,21-02-2018,966,0.077639752
Flatiron,22-02-2018,1009,0.112983152
Flatiron,23-02-2018,957,0.092998955
Flatiron,24-02-2018,553,0.079566004
Flatiron,25-02-2018,516,0.108527132
Flatiron,26-02-2018,941,0.092454835
Flatiron,27-02-2018,1009,0.091179386
